NEnr;ID_Source;ID_Finance;IDTFinance;Provenance;DateDebut;DateFin;MontantPrevu;MontantRealise;Observation
566;566;288;RECETTES;CAC;01/01/2010;31/12/2010;16 668 381,000000;16 668 381,000000;
822;822;505;RECETTES;CAC;01/01/2012;30/06/2012;105 419 307,000000;105 419 307,000000;
567;567;289;RECETTES;CAC;01/01/2011;31/12/2011;25 101 163,000000;25 101 163,000000;
823;823;507;RECETTES;CAC;01/01/2008;31/12/2008;60 881 039,000000;60 881 039,000000;
568;568;290;RECETTES;CAC;01/01/2012;30/06/2012;20 429 600,000000;20 429 600,000000;
824;824;508;RECETTES;CAC;01/01/2009;31/12/2009;76 640 246,000000;76 640 246,000000;
569;569;291;RECETTES;CAC;01/01/2007;31/12/2007;28 901 094,000000;28 901 094,000000;
825;825;509;RECETTES;CAC;01/01/2010;31/12/2010;128 120 130,000000;128 120 130,000000;
570;570;292;RECETTES;CAC;01/01/2008;31/12/2008;21 887 220,000000;21 887 220,000000;
826;826;510;RECETTES;CAC;01/01/2011;31/12/2011;172 330 392,000000;172 330 392,000000;
571;571;293;RECETTES;CAC;01/01/2009;31/12/2009;23 786 888,000000;23 786 888,000000;
827;827;511;RECETTES;CAC;01/01/2012;30/06/2012;110 642 096,000000;110 642 096,000000;
572;572;294;RECETTES;CAC;01/01/2010;31/12/2010;43 634 505,000000;43 634 505,000000;
828;828;512;RECETTES;CAC;01/01/2008;31/12/2008;81 564 208,000000;81 564 208,000000;
573;573;295;RECETTES;CAC;01/01/2011;31/12/2011;31 965 048,000000;31 965 048,000000;
829;829;513;RECETTES;CAC;01/01/2009;31/12/2009;102 677 302,000000;102 677 302,000000;
574;574;296;RECETTES;CAC;01/01/2012;30/06/2012;23 942 164,000000;23 942 164,000000;
830;830;514;RECETTES;CAC;01/01/2010;31/12/2010;171 646 492,000000;171 646 492,000000;
575;575;297;RECETTES;CAC;01/01/2007;31/12/2007;42 388 271,000000;42 388 271,000000;
831;831;515;RECETTES;CAC;01/01/2011;31/12/2011;315 513 954,000000;315 513 954,000000;
576;576;299;RECETTES;CAC;01/01/2008;31/12/2008;32 101 256,000000;32 101 256,000000;
832;832;516;RECETTES;CAC;01/01/2012;30/06/2012;197 155 944,000000;197 155 944,000000;
65;65;32;RECETTES;CAC;01/01/2014;31/12/2014;130 000 000,000000;130 000 000,000000;
577;577;300;RECETTES;CAC;01/01/2009;31/12/2009;34 887 436,000000;34 887 436,000000;
833;833;517;RECETTES;CAC;01/01/2008;31/12/2008;62 267 622,000000;62 267 622,000000;
578;578;301;RECETTES;CAC;01/01/2010;31/12/2010;63 997 273,000000;63 997 273,000000;
834;834;518;RECETTES;CAC;01/01/2009;31/12/2009;78 385 750,000000;78 385 750,000000;
579;579;302;RECETTES;CAC;01/01/2011;31/12/2011;58 456 661,000000;58 456 661,000000;
835;835;519;RECETTES;CAC;01/01/2010;31/12/2010;131 038 103,000000;131 038 103,000000;
580;580;303;RECETTES;CAC;01/01/2012;30/06/2012;37 499 132,000000;37 499 132,000000;
836;836;520;RECETTES;CAC;01/01/2011;31/12/2011;180 345 141,000000;180 345 141,000000;
581;581;304;RECETTES;CAC;01/01/2007;31/12/2007;46 241 750,000000;46 241 750,000000;
837;837;521;RECETTES;CAC;01/01/2012;31/12/2012;115 484 738,000000;115 484 738,000000;
582;582;305;RECETTES;CAC;01/01/2008;31/12/2008;35 019 553,000000;35 019 553,000000;
838;838;522;RECETTES;CAC;01/01/2008;31/12/2008;39 696 093,000000;39 696 093,000000;
583;583;306;RECETTES;CAC;01/01/2009;31/12/2009;38 059 021,000000;38 059 021,000000;
839;839;523;RECETTES;CAC;01/01/2009;31/12/2009;49 971 525,000000;49 971 525,000000;
584;584;307;RECETTES;CAC;01/01/2010;31/12/2010;69 815 208,000000;69 815 208,000000;
840;840;524;RECETTES;CAC;01/01/2010;31/12/2010;83 537 810,000000;83 537 810,000000;
585;585;308;RECETTES;CAC;01/01/2011;31/12/2011;47 023 439,000000;47 023 439,000000;
841;841;525;RECETTES;CAC;01/01/2011;31/12/2011;182 577 390,000000;182 577 390,000000;
586;586;309;RECETTES;CAC;01/01/2012;30/06/2012;31 648 229,000000;31 648 229,000000;
842;842;526;RECETTES;CAC;01/01/2012;30/06/2012;116 770 236,000000;116 770 236,000000;
